scene,pose,branch,success,time_out,invasion_time,lane_invasion,collision,total_reward,mean_reward,ego_jerk,other_jerk,tot_step
1,0,0,1.0,0.0,0.0,0.0,0.0,-47.379648761231394,-0.16928140196021105,188.4,10.2,278.0
1,0,1,1.0,0.0,2.6,0.0,0.0,-67.38365435826323,-0.2309086229156018,235.0,5.0,302.4
1,1,-1,1.0,0.0,1.6,0.0,0.0,-90.42811178481925,-0.18995083170977084,393.2,8.6,475.2
1,1,0,1.0,0.0,0.0,0.0,0.0,-32.77263546019877,-0.16737636292850827,104.0,3.8,195.8
1,2,-1,1.0,0.0,0.0,0.0,0.0,-41.533278049840774,-0.20064540801796776,98.8,0.6,207.0
1,2,0,1.0,0.0,0.0,0.0,0.0,-64.83460977550503,-0.16849178617101426,301.8,4.0,383.6
2,0,0,1.0,0.0,0.0,0.0,0.0,-44.397712484751125,-0.16808810922443723,169.4,10.2,262.4
2,1,-1,0.8,0.2,0.6,0.0,0.0,-84.83503448368621,-0.1970403403393875,410.4,51.2,467.6
2,1,0,1.0,0.0,0.0,0.0,0.0,-32.741880698113604,-0.18904166615974086,100.4,5.6,173.2
2,2,0,1.0,0.0,0.0,0.0,0.0,-46.248075684873456,-0.15347592374907187,197.0,9.0,299.0
2,3,0,1.0,0.0,0.0,0.0,0.0,-37.27471022998374,-0.16732251803611925,146.0,9.6,221.2
2,3,1,0.4,0.0,4.2,0.6,0.0,-77.50192463173339,-0.2790097833996046,237.8,101.6,270.6
