scene,pose,branch,success,time_out,invasion_time,lane_invasion,collision,total_reward,mean_reward,ego_jerk,other_jerk,tot_step
1,0,0,1.0,0.0,0.0,0.0,0.0,-46.07897883049911,-0.17342046784938503,173.6,8.2,259.0
1,0,1,1.0,0.0,0.4,0.0,0.0,-34.53227503172447,-0.19190671412705368,116.0,14.8,179.6
1,1,-1,0.8,0.2,0.0,0.0,0.0,-60.725631543514474,-0.17027292411632206,299.8,3.8,387.6
1,1,0,1.0,0.0,0.0,0.0,0.0,-31.394742241545902,-0.1623309910748129,101.2,2.4,193.4
1,2,-1,1.0,0.0,0.0,0.0,0.0,-39.941294766551636,-0.1896529822390251,120.2,1.0,210.6
1,2,0,1.0,0.0,0.0,0.0,0.0,-35.812439265475916,-0.16168605315355805,131.0,7.6,222.6
2,0,0,1.0,0.0,0.0,0.0,0.0,-86.29490193503952,-0.1668987723100966,433.8,7.4,525.2
2,1,-1,0.8,0.2,0.0,0.0,0.0,-62.69318947873769,-0.19907914527738402,278.4,138.6,341.2
2,1,0,1.0,0.0,0.0,0.0,0.0,-37.91960650368063,-0.1829086872798291,137.8,0.0,208.4
2,2,0,1.0,0.0,0.0,0.0,0.0,-53.00413509758715,-0.15453090416391344,246.4,1.0,339.2
2,3,0,1.0,0.0,0.0,0.0,0.0,-52.193911451388125,-0.16820783378106766,242.4,4.8,311.6
2,3,1,0.8,0.2,1.6,0.0,0.0,-109.68455482633689,-0.2288658793687682,437.8,26.4,390.2
