scene,pose,branch,success,time_out,invasion_time,lane_invasion,collision,total_reward,mean_reward,ego_jerk,other_jerk,tot_step
1,0,0,1.0,0.0,0.0,0.0,0.0,-31.569953860247676,-0.16273172092911173,109.0,7.4,194.0
1,0,1,1.0,0.0,0.0,0.0,0.0,-30.572733302731148,-0.18849669737320873,92.6,10.6,162.2
1,1,-1,1.0,0.0,0.0,0.0,0.0,-75.59259869068896,-0.18982985819173903,326.8,5.2,396.2
1,1,0,1.0,0.0,0.0,0.0,0.0,-31.56993641917372,-0.16273163102666865,109.0,2.0,194.0
1,2,-1,1.0,0.0,0.0,0.0,0.0,-39.598348161108845,-0.18856356267194688,117.0,1.8,210.0
1,2,0,1.0,0.0,0.0,0.0,0.0,-49.43516020167355,-0.15801352974884755,243.8,3.4,321.6
2,0,0,1.0,0.0,0.0,0.0,0.0,-60.2032449448138,-0.17679366182880388,289.6,7.2,351.8
2,1,-1,1.0,0.0,0.0,0.0,0.0,-52.67589214696169,-0.20986707493582882,180.6,2.0,249.2
2,1,0,1.0,0.0,0.0,0.0,0.0,-40.45141607286543,-0.1832377132347497,157.4,9.4,221.0
2,2,0,1.0,0.0,0.0,0.0,0.0,-29.60491219282028,-0.16594244753574883,103.4,6.2,178.4
2,3,0,1.0,0.0,0.0,0.0,0.0,-37.97767919650347,-0.16994072770065005,158.0,4.8,222.8
2,3,1,1.0,0.0,1.6,0.0,0.0,-29.478415541152867,-0.19103631378651245,107.4,7.0,154.4
